,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TC0-1-CNC02-D3302,,,,,,A,MAIN CONTROL BUILDING (BLD-3302) BASEMENT FLOOR PLAN @ FFL.-3500,,,,,,,,,,,,,,,A,XF38B-3300-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0476,TPC-TC(C0)-CD-22-0476,IFA,2022/07/06,2022/06/06,XF38B-3300-002,MAIN CONTROL BUILDING (BLD-3302) BASEMENT FLOOR PLAN @ FFL.-3500,A,A,Main Control Building (BLD-3302) - Foundation_RA,TC0-1-CNC02-D3302,陳博仁  Ext.:23341,CB-0267,A
1,TC0-1-CNC02-C3302,,,,,,A,CALCULATION SHEET FOR MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION,,,,,,,,,,,,,,,A,XF38B-3300-002C,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0476,TPC-TC(C0)-CD-22-0476,IFA,2022/07/06,2022/06/06,XF38B-3300-002C,CALCULATION SHEET FOR MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION,A,A,Main Control Building (BLD-3302) - Foundation_RA,TC0-1-CNC02-C3302,陳博仁  Ext.:23341,CB-0267,A
2,TC0-1-CNC02-D3303,,,,,,A,MAIN CONTROL BUILDING (BLD-3302) GROUND FLOOR PLAN @ FFL.+1000,,,,,,,,,,,,,,,A,XF38B-3300-003,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0476,TPC-TC(C0)-CD-22-0476,IFA,2022/07/06,2022/06/06,XF38B-3300-003,MAIN CONTROL BUILDING (BLD-3302) GROUND FLOOR PLAN @ FFL.+1000,A,A,Main Control Building (BLD-3302) - Foundation_RA,TC0-1-CNC02-D3303,陳博仁  Ext.:23341,CB-0267,A
3,TC0-1-CNC02-D3304,,,,,,A,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (1),,,,,,,,,,,,,,,A,XF38B-3300-004,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0476,TPC-TC(C0)-CD-22-0476,IFA,2022/07/06,2022/06/06,XF38B-3300-004,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (1),A,A,Main Control Building (BLD-3302) - Foundation_RA,TC0-1-CNC02-D3304,陳博仁  Ext.:23341,CB-0267,A
4,TC0-1-CNC02-D3305,,,,,,A,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (2),,,,,,,,,,,,,,,A,XF38B-3300-005,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0476,TPC-TC(C0)-CD-22-0476,IFA,2022/07/06,2022/06/06,XF38B-3300-005,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (2),A,A,Main Control Building (BLD-3302) - Foundation_RA,TC0-1-CNC02-D3305,陳博仁  Ext.:23341,CB-0267,A
5,TC0-1-CNC02-D3306,,,,,,A,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (3),,,,,,,,,,,,,,,A,XF38B-3300-006,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0476,TPC-TC(C0)-CD-22-0476,IFA,2022/07/06,2022/06/06,XF38B-3300-006,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (3),A,A,Main Control Building (BLD-3302) - Foundation_RA,TC0-1-CNC02-D3306,陳博仁  Ext.:23341,CB-0267,A
6,TC0-1-CNC02-D3307,,,,,,A,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (4),,,,,,,,,,,,,,,A,XF38B-3300-007,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0476,TPC-TC(C0)-CD-22-0476,IFA,2022/07/06,2022/06/06,XF38B-3300-007,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (4),A,A,Main Control Building (BLD-3302) - Foundation_RA,TC0-1-CNC02-D3307,陳博仁  Ext.:23341,CB-0267,A
7,TC0-1-CNC02-D3308,,,,,,A,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (5),,,,,,,,,,,,,,,A,XF38B-3300-008,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0476,TPC-TC(C0)-CD-22-0476,IFA,2022/07/06,2022/06/06,XF38B-3300-008,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (5),A,A,Main Control Building (BLD-3302) - Foundation_RA,TC0-1-CNC02-D3308,陳博仁  Ext.:23341,CB-0267,A
8,TC0-1-CNC02-D3309,,,,,,A,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (6),,,,,,,,,,,,,,,A,XF38B-3300-009,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0476,TPC-TC(C0)-CD-22-0476,IFA,2022/07/06,2022/06/06,XF38B-3300-009,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (6),A,A,Main Control Building (BLD-3302) - Foundation_RA,TC0-1-CNC02-D3309,陳博仁  Ext.:23341,CB-0267,A
9,TC0-1-CNC02-D3310,,,,,,A,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (7),,,,,,,,,,,,,,,A,XF38B-3300-010,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0476,TPC-TC(C0)-CD-22-0476,IFA,2022/07/06,2022/06/06,XF38B-3300-010,MAIN CONTROL BUILDING (BLD-3302) SRC STRUCTURE FOUNDATION SECTIONS & DETAILS (7),A,A,Main Control Building (BLD-3302) - Foundation_RA,TC0-1-CNC02-D3310,陳博仁  Ext.:23341,CB-0267,A
