,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TC0-1-UWM02-D6601,,,,,,C,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (1/8),,,,,,,,,,,,,,,A,XB12A-7160-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0102,TPC-TC(C0)-CD-22-0102,IFA,2022/03/10,2022/02/10,XB12A-7160-001,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (1/8),C,A,"P&ID, Sizing Report and Differential Head Calculation Sheet for Recovery Water Treatment System",TC0-1-UWM02-D6601,蕭舜予  Ext.:22121 ,PS-0205
1,TC0-1-UWM02-D6602,,,,,,C,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (2/8),,,,,,,,,,,,,,,A,XB12A-7160-002,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0102,TPC-TC(C0)-CD-22-0102,IFA,2022/03/10,2022/02/10,XB12A-7160-002,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (2/8),C,A,"P&ID, Sizing Report and Differential Head Calculation Sheet for Recovery Water Treatment System",TC0-1-UWM02-D6602,蕭舜予  Ext.:22121 ,PS-0205
2,TC0-1-UWM02-D6603,,,,,,C,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (3/8),,,,,,,,,,,,,,,A,XB12A-7160-003,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0102,TPC-TC(C0)-CD-22-0102,IFA,2022/03/10,2022/02/10,XB12A-7160-003,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (3/8),C,A,"P&ID, Sizing Report and Differential Head Calculation Sheet for Recovery Water Treatment System",TC0-1-UWM02-D6603,蕭舜予  Ext.:22121 ,PS-0205
3,TC0-1-UWM02-D6604,,,,,,C,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (4/8),,,,,,,,,,,,,,,A,XB12A-7160-004,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0102,TPC-TC(C0)-CD-22-0102,IFA,2022/03/10,2022/02/10,XB12A-7160-004,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (4/8),C,A,"P&ID, Sizing Report and Differential Head Calculation Sheet for Recovery Water Treatment System",TC0-1-UWM02-D6604,蕭舜予  Ext.:22121 ,PS-0205
4,TC0-1-UWM02-D6605,,,,,,C,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (5/8),,,,,,,,,,,,,,,A,XB12A-7160-005,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0102,TPC-TC(C0)-CD-22-0102,IFA,2022/03/10,2022/02/10,XB12A-7160-005,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (5/8),C,A,"P&ID, Sizing Report and Differential Head Calculation Sheet for Recovery Water Treatment System",TC0-1-UWM02-D6605,蕭舜予  Ext.:22121 ,PS-0205
5,TC0-1-UWM02-D6606,,,,,,C,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (6/8),,,,,,,,,,,,,,,A,XB12A-7160-006,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0102,TPC-TC(C0)-CD-22-0102,IFA,2022/03/10,2022/02/10,XB12A-7160-006,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (6/8),C,A,"P&ID, Sizing Report and Differential Head Calculation Sheet for Recovery Water Treatment System",TC0-1-UWM02-D6606,蕭舜予  Ext.:22121 ,PS-0205
6,TC0-1-UWM02-D6607,,,,,,C,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (7/8),,,,,,,,,,,,,,,A,XB12A-7160-007,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0102,TPC-TC(C0)-CD-22-0102,IFA,2022/03/10,2022/02/10,XB12A-7160-007,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (7/8),C,A,"P&ID, Sizing Report and Differential Head Calculation Sheet for Recovery Water Treatment System",TC0-1-UWM02-D6607,蕭舜予  Ext.:22121 ,PS-0205
7,TC0-1-UWM02-D6608,,,,,,C,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (8/8),,,,,,,,,,,,,,,A,XB12A-7160-008,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0102,TPC-TC(C0)-CD-22-0102,IFA,2022/03/10,2022/02/10,XB12A-7160-008,P&ID - RECOVERY WATER TREATMENT SYSTEM (COMMON) (8/8),C,A,"P&ID, Sizing Report and Differential Head Calculation Sheet for Recovery Water Treatment System",TC0-1-UWM02-D6608,蕭舜予  Ext.:22121 ,PS-0205
8,TC0-1-UWM02-R6601,,,,,,C,SYSTEM DESCRIPTION AND CAPACITY SIZING FOR RECOVERY WATER TREATMENT SYSTEM,,,,,,,,,,,,,,,A,XC21D-7160-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0102,TPC-TC(C0)-CD-22-0102,IFA,2022/03/10,2022/02/10,XC21D-7160-001,SYSTEM DESCRIPTION AND CAPACITY SIZING FOR RECOVERY WATER TREATMENT SYSTEM,C,A,"P&ID, Sizing Report and Differential Head Calculation Sheet for Recovery Water Treatment System",TC0-1-UWM02-R6601,蕭舜予  Ext.:22121 ,PS-0205
9,TC0-1-UWM02-C6601,,,,,,B,DIFFERENTIAL HEAD CALCULATION SHEET FOR RECOVERY WATER TREATMENT SYSTEM,,,,,,,,,,,,,,,A,XC34-7160-001,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0102,TPC-TC(C0)-CD-22-0102,IFA,2022/03/10,2022/02/10,XC34-7160-001,DIFFERENTIAL HEAD CALCULATION SHEET FOR RECOVERY WATER TREATMENT SYSTEM,B,A,"P&ID, Sizing Report and Differential Head Calculation Sheet for Recovery Water Treatment System",TC0-1-UWM02-C6601,蕭舜予  Ext.:22121 ,PS-0205
