,Customer Drawing No.,,,,,,Rev. ,Title of Description,,,,,,,,,,,,,,,Class,Drawing No.,,path,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
0,TC0-1-CYC02-D5501,,,,,,B,ARCHITECTURE TYPICAL DRAWING FINISH DETAILS,,,,,,,,,,,,,,,A,XF11B-0000-501,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0106,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-501,ARCHITECTURE TYPICAL DRAWING FINISH DETAILS,B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5501,陳博仁  Ext.:23341,CB-0148
1,TC0-1-CYC02-D5502,,,,,,B,ARCHITECTURE TYPICAL DRAWING ROOF DETAILS (1/2),,,,,,,,,,,,,,,A,XF11B-0000-502,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0106,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-502,ARCHITECTURE TYPICAL DRAWING ROOF DETAILS (1/2),B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5502,陳博仁  Ext.:23341,CB-0148
2,TC0-1-CYC02-D5503,,,,,,B,ARCHITECTURE TYPICAL DRAWING ROOF DETAILS (2/2),,,,,,,,,,,,,,,A,XF11B-0000-503,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0106,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-503,ARCHITECTURE TYPICAL DRAWING ROOF DETAILS (2/2),B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5503,陳博仁  Ext.:23341,CB-0148
3,TC0-1-CYC02-D5504,,,,,,B,ARCHITECTURE TYPICAL DRAWING DITCH & CATCH BASIN DETAILS,,,,,,,,,,,,,,,A,XF11B-0000-504,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0106,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-504,ARCHITECTURE TYPICAL DRAWING DITCH & CATCH BASIN DETAILS,B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5504,陳博仁  Ext.:23341,CB-0148
4,TC0-1-CYC02-D5505,,,,,,B,ARCHITECTURE TYPICAL DRAWING DOOR FIXING DETAILS (FOR RC STRUCTURE),,,,,,,,,,,,,,,A,XF11B-0000-505,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0106,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-505,ARCHITECTURE TYPICAL DRAWING DOOR FIXING DETAILS (FOR RC STRUCTURE),B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5505,陳博仁  Ext.:23341,CB-0148
5,TC0-1-CYC02-D5506,,,,,,B,ARCHITECTURE TYPICAL DRAWING WINDOW & LOUVER DETAILS (FOR RC STRUCTURE),,,,,,,,,,,,,,,A,XF11B-0000-506,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0106,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-506,ARCHITECTURE TYPICAL DRAWING WINDOW & LOUVER DETAILS (FOR RC STRUCTURE),B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5506,陳博仁  Ext.:23341,CB-0148
6,TC0-1-CYC02-D5507,,,,,,B,ARCHITECTURE TYPICAL DRAWING WINDOW & LOUVER DETAILS,,,,,,,,,,,,,,,A,XF11B-0000-507,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0106,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-507,ARCHITECTURE TYPICAL DRAWING WINDOW & LOUVER DETAILS,B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5507,陳博仁  Ext.:23341,CB-0148
7,TC0-1-CYC02-D5508,,,,,,B,ARCHITECTURE TYPICAL DRAWING DOOR FIXING DETAILS (FOR SS STRUCTURE),,,,,,,,,,,,,,,A,XF11B-0000-508,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0106,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-508,ARCHITECTURE TYPICAL DRAWING DOOR FIXING DETAILS (FOR SS STRUCTURE),B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5508,陳博仁  Ext.:23341,CB-0148
8,TC0-1-CYC02-D5509,,,,,,B,ARCHITECTURE TYPICAL DRAWING WINDOW & LOUVER DETAILS (FOR SS STRUCTURE),,,,,,,,,,,,,,,A,XF11B-0000-509,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0106,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-509,ARCHITECTURE TYPICAL DRAWING WINDOW & LOUVER DETAILS (FOR SS STRUCTURE),B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5509,陳博仁  Ext.:23341,CB-0148
9,TC0-1-CYC02-D5510,,,,,,B,ARCHITECTURE TYPICAL DRAWING FIREPROOF FIBER WALL BORAD DETAILS,,,,,,,,,,,,,,,A,XF11B-0000-510,,//10.162.10.58/全處共用區/_Dwg/台中發電廠新建燃氣機組計畫/TPC-TC(C0)-CD-22-0106,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-510,ARCHITECTURE TYPICAL DRAWING FIREPROOF FIBER WALL BORAD DETAILS,B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5510,陳博仁  Ext.:23341,CB-0148
